no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,0,3,0,0,1,65,2018,11,2,0,0,0,0,60.0,2,0
2,0,1,4,0,0,1,73,2018,12,26,1,0,0,0,111.6,1,0
3,0,0,3,0,0,1,81,2018,9,8,1,0,0,0,168.3,0,1
2,0,0,1,2,0,0,221,2018,8,12,0,0,0,0,115.0,1,1
2,0,2,3,0,0,1,95,2018,10,7,1,0,0,0,132.3,0,1
3,0,1,3,0,0,1,119,2018,10,7,1,0,0,0,151.2,1,0
1,0,1,2,0,0,0,1,2018,2,28,0,0,0,0,60.0,0,1
1,0,1,2,0,0,0,4,2017,11,19,0,0,0,0,65.0,0,0
2,0,0,1,2,0,0,34,2017,7,29,0,0,0,0,224.67,0,1
2,0,0,2,2,0,0,39,2017,10,14,0,0,0,0,109.0,0,0
2,1,2,1,0,0,0,8,2018,7,10,1,0,0,0,130.5,0,1
2,2,2,1,0,0,2,3,2018,2,13,1,0,0,0,85.03,2,0
2,0,0,3,0,0,0,152,2018,8,19,1,0,0,0,114.3,0,1
3,0,2,2,0,0,1,60,2018,3,26,1,0,0,0,123.3,0,1
2,0,1,2,0,0,0,189,2018,3,25,0,0,0,0,60.0,1,0
1,0,0,2,2,0,0,102,2017,10,18,0,0,0,0,87.0,0,0
2,0,2,4,0,0,1,205,2018,8,22,1,0,0,0,109.8,0,1
3,0,2,1,0,0,1,54,2018,7,10,1,0,0,0,160.47,1,0
2,1,0,4,0,0,0,7,2018,2,22,1,0,0,0,111.0,2,0
2,0,0,4,0,0,0,221,2018,8,12,1,0,0,0,90.95,0,1
2,0,1,0,1,0,0,250,2018,9,26,1,0,0,0,95.4,0,1
2,0,0,3,0,0,2,218,2018,9,13,1,0,0,0,96.3,0,1
2,0,2,0,1,0,0,59,2018,10,31,1,0,0,0,60.35,0,1
2,0,0,2,0,1,0,6,2018,8,6,1,0,0,0,170.0,2,0
2,0,2,2,0,0,1,66,2018,3,20,1,0,0,0,87.32,0,0
2,0,0,3,0,0,0,192,2017,9,25,1,0,0,0,102.0,0,1
2,1,1,3,0,0,0,189,2018,8,8,0,0,0,0,72.25,0,0
3,0,0,3,0,0,1,128,2018,10,9,1,0,0,0,151.2,2,0
2,0,2,2,0,0,0,14,2018,11,4,0,0,0,0,43.5,0,0
2,0,1,2,0,0,0,105,2018,10,6,0,0,0,0,110.0,0,1
1,0,0,1,0,0,0,0,2018,12,16,2,1,0,2,65.0,1,0
1,0,0,1,0,0,0,0,2017,9,24,0,0,0,0,133.0,0,0
2,0,2,3,0,0,0,222,2018,9,19,1,0,0,0,111.35,2,1
2,2,2,5,0,0,3,149,2018,7,1,1,0,0,0,173.25,0,1
2,0,2,2,0,0,0,166,2018,5,29,1,0,0,0,99.45,0,1
2,0,0,2,2,0,0,14,2017,8,17,0,0,0,0,82.0,0,0
2,0,1,3,0,0,0,308,2018,11,23,1,0,0,0,78.3,0,1
0,2,0,3,0,0,0,151,2018,5,17,1,0,0,0,95.82,0,1
2,0,1,3,0,0,4,34,2018,10,10,1,0,0,0,153.0,1,0
2,0,0,4,0,0,1,14,2018,6,7,1,0,0,0,152.67,1,0
2,0,0,4,0,0,0,164,2018,8,4,1,0,0,0,99.45,0,1
1,0,2,3,0,0,0,41,2017,10,18,1,0,0,0,105.0,0,0
2,0,1,1,2,0,0,9,2017,10,10,0,0,0,0,115.0,1,0
1,0,0,3,0,0,0,271,2017,9,21,0,0,0,0,85.67,0,0
2,0,1,4,0,0,1,109,2018,4,25,1,0,0,0,97.75,1,0
1,0,1,3,0,0,0,80,2018,7,25,0,0,0,0,96.0,0,0
2,0,0,5,0,0,0,176,2018,8,9,1,0,0,0,99.45,0,1
2,0,0,2,0,0,0,74,2018,12,2,0,0,0,0,75.0,0,0
2,0,0,4,0,0,0,253,2018,10,4,1,0,0,0,90.0,0,1
2,0,1,2,0,0,0,109,2018,12,11,1,0,0,0,114.25,1,0
2,0,0,2,2,0,0,346,2018,9,9,0,0,0,0,115.0,1,0
2,0,0,3,0,0,1,14,2018,8,3,1,0,0,0,166.0,2,0
2,0,0,5,0,0,1,230,2018,10,6,1,0,0,0,137.0,0,1
2,0,0,5,0,0,2,9,2018,1,29,1,0,0,0,79.25,0,0
2,0,1,3,0,0,1,98,2018,5,9,1,0,0,0,132.6,1,0
1,0,2,3,0,0,0,91,2018,4,12,1,0,0,0,90.9,1,0
2,0,2,5,0,0,0,170,2018,5,8,0,0,0,0,78.0,0,0
2,0,0,2,2,0,0,37,2018,3,26,1,0,0,0,143.1,0,1
2,0,2,1,0,0,0,226,2018,10,29,1,0,0,0,90.0,0,1
2,0,0,2,0,0,0,292,2018,7,21,1,0,0,0,112.0,0,1
2,0,0,2,1,0,0,174,2018,7,27,1,0,0,0,85.5,2,1
2,0,1,0,0,0,0,286,2017,10,16,1,0,0,0,90.0,0,1
1,0,0,1,0,0,0,89,2018,12,10,1,0,0,0,104.0,2,0
2,0,2,0,0,0,0,244,2018,10,30,0,0,0,0,105.4,0,1
2,0,2,2,0,0,1,5,2018,6,1,1,0,0,0,156.0,0,1
1,0,0,3,0,0,0,8,2017,12,1,0,0,0,0,64.8,0,0
2,0,1,4,0,0,0,120,2018,4,22,1,0,0,0,95.2,0,1
2,0,1,2,0,0,0,0,2018,9,7,0,0,0,0,99.2,0,0
2,1,0,3,0,0,0,164,2018,8,30,1,0,0,0,164.25,2,1
2,0,2,0,0,0,0,166,2018,7,31,1,0,0,0,96.3,1,0
2,0,1,3,0,0,0,85,2018,4,6,0,0,0,0,85.0,0,0
1,0,1,2,0,0,4,36,2018,6,19,0,0,0,0,110.8,1,0
2,0,0,2,0,0,5,3,2017,12,17,4,0,0,0,0.0,0,0
1,0,0,3,2,0,0,88,2018,5,3,0,0,0,0,96.0,0,0
2,0,0,2,0,0,0,129,2018,8,25,1,0,0,0,114.3,1,0
2,1,0,2,0,0,0,156,2018,7,1,1,0,0,0,121.5,1,1
2,0,1,1,0,0,0,59,2018,12,17,0,0,0,0,72.0,0,0
2,0,0,2,0,0,1,155,2018,8,27,1,0,0,0,143.07,2,1
2,0,0,2,0,0,0,198,2017,9,9,0,0,0,0,90.0,0,1
2,0,2,5,0,0,0,95,2018,6,29,0,0,0,0,86.36,0,0
3,0,2,1,0,0,1,202,2018,10,22,1,0,0,0,128.7,0,1
2,0,2,2,0,0,0,134,2017,9,4,0,0,0,0,65.0,0,0
2,0,2,2,0,0,0,206,2018,10,25,1,0,0,0,102.85,0,1
2,0,2,5,0,0,0,25,2017,10,11,0,0,0,0,72.76,0,1
2,0,0,2,0,0,0,4,2017,10,19,0,0,0,0,100.8,1,0
3,0,2,4,0,0,1,28,2018,4,17,1,0,0,0,133.4,2,1
2,0,0,4,0,0,0,323,2018,5,12,1,0,0,0,70.0,0,1
1,0,2,1,0,0,0,1,2017,9,8,0,0,0,0,91.2,0,0
2,1,0,1,0,0,0,12,2018,10,7,1,0,0,0,160.2,1,0
2,0,1,2,0,0,0,193,2018,7,20,1,0,0,0,70.44,1,1
2,0,2,2,2,0,0,41,2017,9,4,0,0,0,0,113.0,2,0
2,0,2,2,0,0,1,68,2018,5,21,1,0,0,0,132.6,0,1
2,0,0,4,0,0,0,141,2018,6,15,1,0,0,0,128.85,2,0
2,0,2,2,0,0,0,150,2018,9,24,1,0,0,0,129.6,1,0
2,0,1,2,0,0,0,129,2018,10,27,0,0,0,0,80.75,0,0
2,0,1,2,0,0,0,3,2018,3,7,2,1,0,7,79.0,1,0
2,0,1,2,0,0,0,305,2018,11,11,0,0,0,0,89.0,0,1
2,0,0,3,0,0,0,40,2018,6,29,0,0,0,0,85.5,0,0
2,0,0,3,0,0,1,95,2018,12,8,1,0,0,0,118.8,2,0
3,0,1,0,0,0,1,45,2018,7,10,1,0,0,0,146.7,2,0
2,0,2,4,0,0,0,135,2018,10,9,0,0,0,0,78.65,0,0
2,0,0,2,1,0,0,125,2018,6,17,1,0,0,0,116.1,1,0
2,1,0,1,0,0,0,45,2018,4,8,1,0,0,0,112.5,1,0
2,0,1,1,0,0,0,282,2017,10,21,0,0,0,0,76.67,0,0
2,0,0,4,0,0,0,110,2018,4,9,0,0,0,0,70.0,0,0
2,0,2,1,1,0,0,91,2018,4,3,1,0,0,0,58.9,1,0
2,0,1,5,0,0,0,116,2018,2,28,0,0,0,0,70.0,0,0
2,0,0,1,0,0,2,2,2018,12,21,4,1,0,6,0.0,2,0
2,1,1,0,0,0,0,4,2018,8,28,1,0,0,0,169.0,0,0
2,0,0,3,0,0,0,103,2018,12,4,0,0,0,0,80.0,0,0
2,0,2,5,0,0,1,6,2017,10,31,1,0,0,0,97.02,3,0
2,0,2,5,0,0,1,202,2018,8,13,1,0,0,0,109.66,0,1
2,0,3,5,0,0,0,96,2017,7,11,1,0,0,0,63.75,1,1
3,0,0,3,0,0,1,55,2018,3,29,1,0,0,0,123.3,1,0
2,0,2,3,0,0,0,240,2018,10,27,1,0,0,0,90.95,0,0
2,1,2,5,0,0,0,29,2017,10,4,0,0,0,0,77.5,0,0
1,0,0,2,0,0,0,151,2018,1,15,0,0,0,0,71.0,0,0
2,0,0,1,1,0,0,317,2018,9,1,1,0,0,0,106.2,0,1
2,1,1,4,0,0,0,6,2018,11,7,1,0,0,0,147.2,3,0
2,1,2,3,0,0,0,33,2018,8,1,1,0,0,0,125.1,1,0
2,0,0,2,0,0,0,112,2018,7,1,0,0,0,0,72.25,0,0
3,0,1,3,0,0,1,24,2018,10,17,1,0,0,0,201.25,2,0
2,2,2,2,0,0,3,37,2017,11,6,1,0,0,0,194.5,1,0
2,0,2,5,0,0,0,178,2018,8,24,1,0,0,0,99.45,1,0
1,0,1,2,0,0,0,115,2018,6,27,0,0,0,0,76.0,0,0
2,0,0,2,0,0,1,77,2018,5,17,1,0,0,0,140.4,1,0
2,0,2,1,0,0,0,23,2017,10,4,0,0,0,0,105.0,0,0
1,0,0,3,0,0,0,6,2017,9,22,0,0,0,0,65.0,0,0
2,0,2,3,0,0,0,146,2018,4,29,0,0,0,0,95.0,1,0
3,0,0,2,0,0,1,49,2018,6,2,1,0,0,0,159.3,1,1
2,0,2,2,0,0,0,136,2018,8,26,0,0,0,0,72.25,2,0
2,0,2,5,0,0,1,82,2018,11,6,1,0,0,0,146.6,1,1
1,0,0,1,0,0,0,68,2017,11,2,2,0,0,0,65.0,0,0
2,0,0,3,0,0,0,308,2018,12,23,1,0,0,0,78.3,2,1
2,0,2,2,0,0,0,98,2018,10,30,1,0,0,0,90.45,1,1
2,0,2,2,0,0,0,2,2018,5,23,0,0,0,0,110.21,0,1
2,0,2,2,0,0,0,93,2018,10,1,0,0,0,0,115.0,0,1
2,0,2,5,0,0,0,250,2018,9,8,1,0,0,0,95.0,2,0
2,0,1,2,0,0,0,121,2018,4,1,0,0,0,0,71.0,1,0
2,0,0,3,0,0,0,183,2018,9,8,0,0,0,0,110.0,1,1
1,0,2,2,0,0,0,103,2018,4,17,1,0,0,0,115.0,0,1
0,2,0,1,0,0,2,37,2018,5,27,1,0,0,0,108.11,2,0
2,0,2,4,0,0,0,147,2018,4,5,1,0,0,0,104.21,1,1
2,0,1,1,0,0,1,0,2017,10,23,0,0,0,0,87.2,0,0
2,0,2,1,0,0,1,1,2018,5,22,1,0,0,0,176.0,1,0
2,1,1,1,0,0,0,18,2018,9,21,0,0,0,0,128.0,1,0
2,0,2,2,0,0,2,194,2018,7,10,1,0,0,0,81.82,0,1
2,2,0,1,0,0,3,20,2018,8,11,1,0,0,0,231.0,1,0
1,0,0,2,2,0,0,9,2017,12,11,1,0,0,0,0.0,1,0
2,0,2,2,0,0,1,84,2018,8,27,1,0,0,0,118.15,1,0
2,0,0,3,0,0,2,78,2018,3,24,1,0,0,0,114.3,1,1
2,0,2,2,1,0,0,134,2018,8,21,1,0,0,0,76.93,0,0
3,0,1,1,0,0,1,50,2018,5,13,1,0,0,0,159.3,1,1
3,0,2,2,0,0,0,133,2018,7,16,1,0,0,0,137.7,2,0
2,0,0,4,0,0,0,160,2018,7,13,1,0,0,0,97.75,0,1
2,1,2,2,0,0,0,149,2018,8,12,1,0,0,0,130.5,0,1
2,0,0,2,0,0,0,301,2018,11,18,0,0,0,0,52.0,1,1
2,0,0,1,0,0,0,80,2018,12,11,0,0,0,0,75.0,0,0
1,0,0,1,0,0,0,54,2018,11,20,2,0,0,0,79.0,0,0
2,0,1,2,0,0,0,156,2018,7,25,1,0,0,0,105.3,1,1
2,1,1,3,0,0,0,64,2018,10,31,1,0,0,0,114.75,3,0
2,0,0,1,0,0,2,46,2017,10,25,1,0,0,0,111.6,1,0
2,0,0,3,0,0,0,164,2018,8,24,1,0,0,0,76.46,1,0
2,0,1,1,0,0,0,128,2018,8,8,1,0,0,0,114.3,1,0
2,0,0,2,0,0,0,39,2018,3,2,0,0,0,0,85.0,0,0
2,0,1,5,0,0,1,1,2017,8,20,1,0,0,0,127.33,3,0
1,0,0,3,0,0,4,269,2018,12,29,0,0,0,0,106.0,0,0
2,1,2,1,0,0,0,5,2018,11,19,1,0,0,0,107.67,2,0
2,0,1,4,0,0,1,115,2018,8,8,1,0,0,0,131.4,1,0
2,0,1,1,2,0,0,13,2018,4,26,0,0,0,0,96.0,0,0
2,0,1,3,0,0,0,268,2018,4,8,0,0,0,0,78.0,0,0
2,0,0,1,0,1,1,0,2018,1,2,1,0,0,0,114.0,1,0
2,0,1,2,0,0,2,32,2018,1,25,1,0,0,0,86.75,1,0
2,0,2,2,0,0,1,242,2018,10,14,1,0,0,0,95.13,2,0
3,0,0,3,0,0,1,112,2018,12,28,1,0,0,0,131.13,0,1
2,0,2,2,0,0,0,39,2018,8,27,0,0,0,0,85.0,0,0
2,0,2,2,0,0,0,155,2018,6,26,1,0,0,0,90.95,1,0
2,0,2,5,0,0,0,89,2017,11,15,1,0,0,0,72.25,3,0
1,0,0,2,0,0,0,88,2018,10,7,2,0,0,0,90.0,0,0
2,0,0,3,0,0,0,71,2018,5,10,0,0,0,0,140.0,0,0
2,0,0,3,2,0,0,7,2018,3,26,1,0,0,0,101.0,0,1
3,0,0,3,0,0,1,0,2018,9,27,2,0,0,0,205.0,0,0
2,0,1,1,0,0,1,146,2018,8,19,1,0,0,0,127.8,2,0
2,0,0,4,0,0,0,224,2018,9,28,1,0,0,0,119.85,1,1
2,1,2,1,0,0,0,10,2018,9,18,1,0,0,0,162.33,3,0
2,0,0,2,0,0,0,1,2017,9,30,0,1,1,0,102.6,0,0
2,0,1,3,0,0,0,91,2018,5,16,0,0,0,0,80.0,0,0
2,2,0,4,0,0,3,155,2018,12,30,1,0,0,0,148.58,4,0
1,0,2,3,0,0,1,12,2018,5,18,1,0,0,0,120.12,2,0
2,0,1,1,0,0,0,152,2018,1,20,0,0,0,0,71.0,0,0
3,0,2,1,0,0,1,69,2018,4,12,1,0,0,0,137.7,0,1
2,0,0,1,0,0,0,275,2018,6,4,1,0,0,0,62.8,0,1
2,0,2,2,2,0,0,169,2018,10,22,0,0,0,0,107.0,0,1
2,0,1,2,0,0,0,99,2017,10,30,0,0,0,0,65.0,0,0
2,0,0,4,0,0,0,265,2018,10,26,1,0,0,0,100.3,0,1
2,0,2,3,0,0,0,212,2018,8,13,1,0,0,0,90.95,1,0
1,0,0,2,0,0,0,6,2018,5,24,0,0,0,0,100.0,0,0
2,0,1,0,1,0,0,260,2018,12,22,1,0,0,0,67.5,0,0
2,0,2,2,0,0,0,59,2018,11,18,0,0,0,0,75.0,1,0
3,0,2,0,0,0,1,50,2018,9,3,1,0,0,0,142.2,0,1
3,0,1,2,0,0,1,4,2018,2,27,1,0,0,0,133.0,1,0
2,0,1,2,0,0,0,66,2018,11,9,0,0,0,0,75.0,0,1
2,0,0,2,0,0,0,317,2018,9,29,0,0,0,0,120.0,0,1
2,0,1,1,2,0,0,103,2017,7,18,1,0,0,0,94.5,0,1
2,0,2,2,0,0,0,204,2018,9,9,0,0,0,0,80.75,2,0
2,0,2,3,0,0,0,198,2018,7,22,1,0,0,0,90.95,0,0
2,2,2,0,0,0,3,31,2018,6,19,1,0,0,0,162.35,2,0
2,0,1,2,0,0,0,44,2018,2,17,0,0,0,0,75.0,0,0
2,0,1,4,0,0,1,12,2018,2,5,1,0,0,0,111.0,0,0
2,0,1,2,0,0,0,279,2018,10,12,1,0,0,0,110.0,0,1
2,0,1,1,0,0,0,103,2018,6,11,1,0,0,0,126.9,0,1
3,0,2,0,0,0,1,210,2018,7,31,1,0,0,0,146.7,0,1
1,0,2,3,1,0,0,72,2018,10,30,1,0,0,0,109.65,2,0
1,0,0,2,0,0,0,103,2018,4,19,0,0,0,0,115.0,0,1
2,0,1,2,0,0,0,187,2018,8,19,1,0,0,0,105.3,0,1
2,0,0,3,0,0,0,259,2018,12,29,1,0,0,0,131.44,1,0
2,2,2,2,0,0,3,5,2018,3,20,1,0,0,0,190.0,2,0
2,1,3,5,0,0,0,155,2018,7,25,1,0,0,0,119.17,0,1
1,0,2,2,0,0,0,115,2018,2,27,1,0,0,0,76.3,0,1
1,0,0,2,0,0,0,27,2017,12,9,0,0,0,0,58.0,0,0
1,0,0,3,0,0,0,63,2018,11,27,0,0,0,0,110.0,0,0
2,1,0,2,0,0,0,2,2018,7,1,1,0,0,0,163.5,0,0
2,0,1,2,0,0,1,63,2018,9,12,1,0,0,0,149.4,1,0
2,0,0,2,0,0,2,0,2017,8,15,1,0,0,0,98.25,0,0
2,0,0,1,0,0,0,119,2018,8,26,1,0,0,0,114.3,0,0
2,0,2,5,1,0,0,207,2018,7,28,1,0,0,0,89.25,1,1
2,0,2,3,0,0,2,166,2018,8,19,1,0,0,0,99.3,0,1
2,0,1,3,0,0,0,229,2018,8,22,1,0,0,0,89.25,0,1
2,0,0,4,2,0,0,21,2018,4,28,0,0,0,0,110.8,2,0
2,0,0,3,0,0,0,160,2017,12,30,0,0,0,0,70.0,0,0
2,0,0,1,0,0,0,257,2017,7,1,0,0,0,0,101.5,0,1
2,0,1,0,1,1,0,133,2018,6,13,1,0,0,0,103.5,1,0
2,0,0,3,0,0,1,111,2018,8,2,1,0,0,0,117.11,0,0
2,0,0,4,0,0,0,162,2018,7,5,0,0,0,0,112.0,1,1
2,2,1,3,0,0,3,66,2018,5,9,1,0,0,0,187.85,0,0
2,0,1,0,0,0,0,95,2018,10,31,1,0,0,0,90.9,1,1
2,0,0,2,0,0,0,94,2017,12,3,1,0,0,0,72.25,2,0
2,0,0,3,0,0,0,143,2018,8,25,0,0,0,0,100.0,0,0
2,0,1,4,2,0,0,151,2018,7,3,0,0,0,0,300.0,0,1
2,0,0,1,0,0,0,36,2017,10,13,0,0,0,0,112.0,1,0
1,0,1,0,0,0,0,155,2018,8,21,1,0,0,0,130.5,0,1
2,0,0,3,0,0,0,146,2017,12,29,0,0,0,0,85.0,0,0
2,0,2,3,0,0,0,179,2018,9,30,1,0,0,0,113.4,2,0
2,0,0,2,0,0,0,181,2018,9,11,1,0,0,0,118.0,2,1
2,0,0,4,0,0,0,228,2018,8,29,1,0,0,0,90.95,1,1
2,0,1,3,0,0,0,184,2018,10,18,1,0,0,0,90.9,1,0
2,0,1,2,0,0,0,305,2018,11,25,0,0,0,0,89.0,0,1
2,0,2,2,0,0,0,48,2018,8,31,0,0,0,0,75.0,0,0
2,0,0,1,1,0,0,132,2018,7,7,1,0,0,0,139.0,0,1
2,0,2,4,0,0,0,12,2017,9,9,1,0,0,0,164.0,2,0
2,0,0,1,0,0,0,11,2018,11,5,0,0,0,0,130.0,1,1
1,0,0,1,0,0,0,71,2018,6,10,0,0,0,0,120.0,0,0
2,0,2,1,2,0,4,39,2018,1,9,0,0,0,0,114.8,0,0
3,0,2,3,0,0,1,1,2018,8,14,1,0,0,0,168.5,0,0
2,0,0,1,0,0,0,136,2018,5,24,1,0,0,0,121.5,0,1
2,0,0,2,2,0,0,68,2017,9,29,1,0,0,0,0.0,0,0
2,0,2,2,2,0,0,141,2018,7,23,0,0,0,0,107.0,1,0
2,0,1,4,0,0,0,29,2017,10,31,0,0,0,0,57.0,0,0
2,0,0,2,0,0,1,40,2017,10,24,0,0,0,0,85.0,0,0
2,0,0,2,0,0,0,245,2018,4,6,0,0,0,0,75.0,0,1
2,0,0,2,0,0,0,4,2018,9,13,0,0,0,0,95.0,0,0
2,1,0,2,0,0,0,64,2018,4,23,1,0,0,0,115.03,1,0
1,0,1,1,0,0,0,268,2018,10,1,1,0,0,0,95.4,0,0
2,0,2,3,0,0,0,40,2017,10,13,0,0,0,0,75.27,1,0
2,0,1,3,0,0,1,290,2018,12,12,1,0,0,0,86.7,0,1
2,0,0,3,0,0,0,271,2018,9,13,0,0,0,0,101.33,1,1
1,0,0,2,0,0,0,68,2017,9,29,1,0,0,0,0.0,0,0
2,0,1,3,2,0,0,210,2017,9,8,0,0,0,0,86.0,0,1
2,0,2,5,0,0,1,120,2018,8,9,1,0,0,0,127.8,0,1
2,0,0,2,0,0,0,240,2018,8,18,1,0,0,0,95.4,0,1
2,0,2,2,2,0,0,117,2017,8,1,0,0,0,0,94.5,0,0
2,0,4,8,0,0,0,50,2018,3,11,1,0,0,0,78.3,0,1
2,0,1,3,0,0,0,287,2018,9,29,1,0,0,0,106.2,2,1
2,0,1,3,0,0,1,89,2018,7,18,1,0,0,0,121.8,0,1
2,0,1,5,0,0,0,49,2017,12,19,0,0,0,0,71.0,0,0
2,0,1,1,1,0,0,122,2018,6,27,0,0,0,0,86.0,0,0
2,0,2,2,2,0,0,273,2017,7,17,1,0,0,0,80.0,0,1
2,0,6,14,1,0,0,11,2018,11,18,1,0,0,0,75.86,0,1
3,0,3,7,0,0,0,70,2018,5,11,1,0,0,0,150.45,2,1
2,0,0,1,0,1,0,37,2018,10,25,0,0,0,0,85.5,0,0
2,0,1,1,0,0,0,124,2018,8,8,0,0,0,0,72.25,0,0
1,0,2,1,2,0,0,23,2018,1,4,0,0,0,0,96.0,0,0
2,0,2,3,2,0,0,1,2017,8,15,0,0,0,0,138.5,2,0
2,0,1,3,0,0,1,21,2018,3,21,1,0,0,0,64.22,1,0
2,0,1,1,0,0,1,145,2018,6,17,1,0,0,0,118.8,0,1
2,0,1,3,0,0,0,211,2018,8,7,1,0,0,0,90.95,2,0
2,0,2,5,0,0,0,166,2018,6,29,1,0,0,0,99.45,0,1
2,0,1,2,2,0,0,418,2018,9,26,1,0,0,0,107.0,2,1
3,0,0,2,0,0,1,4,2018,3,2,1,0,0,0,133.0,0,1
2,0,1,2,0,0,0,74,2018,4,4,0,0,0,0,80.75,0,0
1,0,2,1,0,0,0,115,2018,2,27,0,0,0,0,81.0,0,0
